,,,,,,,,,,,,,label
1.29E+18,2020-11-29 13:23:57+00:00, ,1.33E+18,en,0,0,0,0, ,@cporterwa fair work and a fair go is letting Subclass 309 decision-ready partners in Australia finalise their visas without round trips to Singapore so they can secure employment. Please pop in and help the Fed Chamber visa bill $T$ 10.15am Monday. __,work pass,Migrant workers,1
1250000000,2015-09-09 11:22:44+00:00, ,6.42E+17,en,0,0,0,0, ,Best Way as regards Hiring a $T$ in Singapore VVv,maid,Foreign domestic workers,1
49526094,2011-11-25 05:50:06+00:00, ,1.40E+17,en,0,0,0,0, ,@wanyinglim same lol 4 topics or 4 papers also die. I think we all die today. Singapore $T$ -.- @huihonggg @karynheng,maid,Foreign domestic workers,-1
205000000,2011-04-24 08:43:20+00:00, ,6.21E+16,en,0,0,0,0, ,"DTN Singapore: GE: $T$'s housing proposals amount to creating policies to crash sector, says Mah: SINGAPORE : Nat... http://bit.ly/hQSnXw",wp,Migrant workers,-1
9.10E+17,2020-04-18 08:08:43+00:00, ,1.25E+18,en,0,0,1,0, ,"Singapore did well against corona virus, exept for Indoor epidemics in its vast underpaid $T$ dormitories. Unsanitary cramped 20men/rm conditions have been public known for years. We're paying the karma for treating poor foreigners like shit
https://t.co/Y1fJ221Xqc",foreign worker,Migrant workers,1
44113803,2011-04-25 02:05:38+00:00, ,6.23E+16,en,0,0,0,0, ,"I'm at Singapore Polytechnic ($T$) (500 Dover Rd, Dover) w/ 59 others http://4sq.com/g8LTjC",SP,Foreign talents,0
1.22E+18,2021-08-05 09:35:32+00:00, ,1.42E+18,en,70,1,1,29, ,Sorry to interrupt the extremely scintillating Shanmugam discourse but I just wanted to draw attention back to the issue concerning @RaeesahKhan$T$sg and her bringing up of alleged police mishandling of sexual assault: https://t.co/wnpj2WkjlC,wp,Migrant workers,1
2310000000,2016-05-21 03:18:29+00:00, ,7.34E+17,en,0,0,0,0, ,"So close yet So far...
Not available in Singapore..
*Table Flip* $T$ B****rd https://t.co/d21FGkrD9Z",racist,Xenophobia and racism,-1
112000000,2010-06-06 18:22:26+00:00, ,15600000000,en,0,0,0,84, ,"RT @alexander_0729: Sorry! Misspelt ???!! FYI, ??? is like halo halo in Philippines, ice 'kachang' in Singapore, etc~ Excuse my bad $T$ h ...",SP,Foreign talents,1
499000000,2016-01-26 14:59:22+00:00, ,6.92E+17,en,0,0,0,1, ,S__ore must celebrate diversity of debate: $T$__ Leon Perera https://t.co/x19ApYtpIb,wp,Migrant workers,1
1.23E+18,2020-04-07 08:56:17+00:00, ,1.25E+18,en,0,0,0,18, ,RT @rameshlaus: #Singapore Govt insurance will not cover anyone who violates Govt's $T$ and admitted for #CoronaVirus infec,travel restrictions,Travel restrictions,1
298000000,2020-12-04 17:12:24+00:00, ,1.33E+18,en,3,0,0,1, ,"Lovely ending to the week for a hard-working global company  doing its best for $T$ in the U.K., Ireland, Netherlands, US, Australia and New Zealand along with staff based in India, Singapore and China, and a smart team @Insendi_online 
Well done everyone! https://t.co/0N$T$d27qUd",international students,Foreign talents,1
743000000,2019-03-29 10:54:33+00:00, ,1.11E+18,en,0,0,0,654, ,"RT @kixes: PAP: We must not tolerate $T$ and discord between the races in Singapore!!!

Also PAP: Only Chinese people can be Prime Minis",racism,Xenophobia and racism,1
177000000,2012-08-21 14:42:06+00:00, ,2.38E+17,en,0,0,0,0, ,Just what Singapore $T$ Software? http://t.co/l8BcgpKZ,employment pass,Foreign talents,-1
477000000,2012-02-03 06:15:40+00:00, ,1.65E+17,en,0,0,0,0, ,RT @jasminelim891: Why More People Are Using House Cleaning Services $T$ http://t.co/SciXOneF,maid,Foreign domestic workers,0
96091599,2017-08-09 03:44:30+00:00, ,8.95E+17,en,0,0,0,1348, ,"RT @fizzurp_: Singapore wants no $T$/islamophobic citizens too, zip it. https://t.co/F6Qnw4mFcS",racist,Xenophobia and racism,1
196000000,2017-09-06 17:13:05+00:00, ,9.05E+17,en,0,0,0,0, ,QR code security to enhance the $T$ validity https://t.co/9cho4zxYG2,work pass,Migrant workers,1
277000000,2011-10-10 09:43:38+00:00, ,1.23E+17,en,0,0,0,0, ,"I'm at Singapore Polytechnic ($T$) (500 Dover Rd, Singapore) w/ 4 others http://t.co/LcU5Ax6O",SP,Foreign talents,0
82059269,2017-04-01 17:11:44+00:00, ,8.48E+17,en,4,0,0,0, ,Went to $T$ by Singapore's version of the DOH. Welcome to the Health Sciences Authority of Singapore https://t.co/AU6YFjSoWA,S pass,Foreign talents,1
3200000000,2021-09-15 05:31:12+00:00, ,1.44E+18,en,0,0,0,0, ,$T$ MPs vote against PAP and  motions on jobs https://t.co/gEG1RAxT5K,wp,Migrant workers,0
1.21E+18,2020-06-24 12:21:38+00:00, ,1.28E+18,en,0,0,0,0, ,@IndiainSingapor My friend having struggle to stay in Singapore as his $T$ (work pass) was  cancelled in Last monthb(May). Please consider him for the Bangalore or Hyderabad destination flights and the Registered number is REG06910.. Please kindly help him please....,EP,Foreign talents,-1
882000000,2020-09-25 16:20:24+00:00, ,1.31E+18,en,0,0,0,0, ,240 Singapore Government For $T$ 2021 (Fully Funded) - https://t.co/9YdXg1fq3g,international students,Foreign talents,0
1310000000,2018-08-18 03:14:18+00:00, ,1.03E+18,en,0,0,0,0, ,"Having delicious dinner Charissa, ($T$ of honor to be for her best friend: Deidre from Singapore ) in Sonoma. Last night, we enjoyed Din -In Movie _ CRAZY RICH ASIANS)_ at the AMC in Phoenix , AZ , with 26 of our... https://t.co/oLGaSAcdVx",maid,Foreign domestic workers,1
1000000000,2013-03-24 03:34:54+00:00, ,3.16E+17,en,0,0,1,0, ,Troublemaker was apparently blocked in Singapore so technically UMG isn't $T$,racist,Xenophobia and racism,1
2840000000,2020-06-09 08:11:42+00:00, ,1.27E+18,en,0,0,0,62, ,"RT @MothershipSG: [JUST IN] As of 12pm on Jun 9, 2020, MOH has preliminarily confirmed 218 new Covid-19 cases in Singapore. This brings the $T$",S pass,Foreign talents,-1
1.38E+18,2022-02-14 14:02:14+00:00, ,1.49E+18,en,0,0,0,40, ,"RT @CurtisSChin: representative international  #highereducation $T$ from #Singapore, #Senegal &amp; #India are in this @Study_",international students,Foreign talents,1
86736177,2013-05-15 00:27:23+00:00, ,3.34E+17,en,0,0,0,0, ,(ST) MOM made 300 in$T$ections on $T$ housing this year http://t.co/jPbl1NGSVc,foreign worker,Migrant workers,1
2150000000,2015-08-26 19:25:16+00:00, ,6.37E+17,en,0,0,0,0, ,Hougang Aljunied residents turn their backs on the $T$. http://t.co/bmV1hIRG7Q #singapore #ge2015 #sgelections,wp,Migrant workers,0
2150000000,2021-05-24 09:35:42+00:00, ,1.40E+18,en,0,0,0,21, ,"RT @region: APPLY: 2021 Singapore International Graduate Award (SINGA) $36,000  For $T$

Host Country",international students,Foreign talents,1
2900000000,2018-09-18 06:06:05+00:00, ,1.04E+18,en,3,0,0,0, ,"@mahbubani_k: Wise and pragmatic public policies have brought Singapore__ different ethnic groups together..... As Singapore__ example reveals, regulation is needed to prevent social divides.
https://t.co/$T$eDz5th6f",wp,Migrant workers,1
3070000000,2021-05-09 03:18:09+00:00, ,1.39E+18,en,0,0,0,0, ,#Singapore Post Ltd Singapore Post ($T$OST ) - FY21: Missed expectations; Awaiting better visibility:  core net profit for 2HFY21 was down 40% yoy as international post and parcel margins continue to be disrupted by air https://t.co/ZLwMT3m4pV #equity #stocks,SP,Foreign talents,-1
51311163,2020-05-12 00:39:00+00:00, ,1.26E+18,en,0,0,0,0, ,"@Alyssa_Milano The media in particular @CNN have been using statistepl comparisons on air for weeks comparing the US testing to other countries in particular S. Korea, Singapore &amp; so on. Then when @realDonaldTrump uses the stats to his benefit the fake news media turn it into a $T$ thing.",racist,Xenophobia and racism,-1
1510000000,2020-11-21 10:52:31+00:00, ,1.33E+18,en,0,0,0,0, ,Singapore introduces tighter $T$ on people traveling from?Japan,travel restrictions,Travel restrictions,0
2450000000,2014-11-18 06:30:09+00:00, ,5.35E+17,en,0,0,0,0, ,$T$ Strangles Baby After Being Denied Funeral Leave http://t.co/L44LNy6MGH #TheStateOfAffairs #uae #singapore,maid,Foreign domestic workers,-1
620000000,2012-12-11 10:46:35+00:00, ,2.78E+17,en,0,0,0,0, ,Singapore $T$ shine in international benchmarking tests - Jakarta Post: Jakarta PostSingapore shin... http://t.co/VZdXYXM3,international students,Foreign talents,1
48312280,2014-07-11 15:52:06+00:00, ,4.88E+17,en,0,0,0,1229, ,RT @BawangPurple: $T$ is alive in Singapore. Shame on this pathetic Isetan manager at Wisma Atria. http://t.co/8sbo5fbhaN http://t.co/VR,racism,Xenophobia and racism,1
2310000000,2014-06-19 08:13:05+00:00, ,4.80E+17,en,0,0,0,0, ,Philippines Asks Singapore to Probe $T$ Blog: Philippines asks Singapore to investigate author of blog provoking hatred for Filipi...,racist,Xenophobia and racism,-1
900000000,2015-11-16 16:48:11+00:00, ,6.66E+17,en,0,0,0,0, ,$T$ explores ways to upgrade Singaporepassport system: The Immigration and Checkpoints Authority of Singapore is_ https://t.co/W0nmYwYLMA,ICA,Immigration policy,1
2970000000,2019-07-08 14:29:15+00:00, ,1.15E+18,en,10,0,0,1, ,"Rather than discouraging by delaying work visas
https://t.co/07tAtOtOyU
america should follow Singapore's lead and REQUIRE $T$ to work in U.S. for at least 3 years after graduating.",work permit,Migrant workers,-1
3200000000,2021-01-05 03:01:05+00:00, ,1.35E+18,en,0,0,0,0, ,Lawrence Wong: Vaccinated and non-vaccinated travellers still subject to same $T$ https://t.co/tZD4VbHtb0,border measures,Travel restrictions,-1
1.22E+18,2020-04-27 07:40:07+00:00, ,1.25E+18,en,0,0,0,35, ,"RT @QuickTake: Latest on #Covid19:
- Global #coronavirus cases reach 2.9 million; deaths $T$ 206,000
- Thailand to extend state of emergen",S pass,Foreign talents,-1
57037588,2011-12-28 15:09:54+00:00, ,1.52E+17,en,0,0,0,444, ,"RT @SoSingaporean: #10YearsAgo you dun see that many $T$, it felt more ""SINGAPORE""! #sosingaporean",foreign talents,Foreign talents,1
106000000,2020-03-24 09:19:45+00:00, ,1.24E+18,en,0,0,0,1, ,"RT @PawieSharpei: They locked borders just now.
When will be ban inbound flights from US and EU?
As I__e said over and over again, make pla_?$T$
921009811969282048,2020-03-24 09:09:25+00:00, ,1242377973384142848,en,0,0,0,13, ,RT @inquirerdotnet: At the stroke of midnight on Monday",border closure,Travel restrictions,-1
2920000000,2015-06-18 09:44:06+00:00, ,6.11E+17,en,0,0,0,0, ,$T$ knows kid better than mum' video draws flak; but some say it reflects situation http://t.co/GvYAGtu8C7,maid,Foreign domestic workers,0
1.07E+18,2021-10-07 10:27:15+00:00, ,1.45E+18,en,0,0,0,0, ,I was genuinely surprised that South Korea had a similar $T$ problem as Singapore which was portrayed q well in squid game https://t.co/mQiRMrr4uO,xenophobic,Xenophobia and racism,-1
46674413,2020-08-21 11:15:36+00:00, ,1.30E+18,en,0,0,0,0, ,"Flights to NZ full in 3... 2... 1...

Singapore to allow general travel to Brunei, New Zealand; travellers to take heed of $T$ in these countries
https://t.co/SGXG00sjsD",border measures,Travel restrictions,1
103000000,2019-02-02 10:09:50+00:00, ,1.09E+18,en,0,0,0,2, ,RT @tcsmeetup: Conducting #Masterclass #training on #DigitalMarketing for Global #MBA batch at $T$ Jain School of Global Management,SP,Foreign talents,0
987000000,2020-07-06 15:02:31+00:00, ,1.28E+18,en,0,0,0,202, ,RT @milkhaii: if $T$ doesnt exist in singapore then why did i feel the need to post this in 2011?? pls explain https://t.,racial discrimination,Xenophobia and racism,-1
216000000,2018-10-11 09:04:41+00:00, ,1.05E+18,en,0,0,0,0, ,"Please cherish the job that you have ... especially if you are a foreigner... it????s no longer easy to land a job in Singapore as previously . And even if  you are issued a working $T$ ,it doesn????t guarantee auto renewals ... #wishyouguysallthebest",S pass,Foreign talents,-1
8.29E+17,2019-08-12 23:14:35+00:00, ,1.16E+18,en,3,0,0,1, ,$T$ in Singapore and Malaysia _ different but the same? https://t.co/2JyBgTgkPP https://t.co/XxGP87ygC0,racism,Xenophobia and racism,0
2850000000,2015-10-15 10:56:15+00:00, ,6.55E+17,en,0,0,0,0, ,The Singapore $T$ who just went viral ,migrant worker,Migrant workers,0
391000000,2019-01-12 06:18:31+00:00, ,1.08E+18,en,0,0,0,2, ,"RT @CoconutsSG: Yeah, airing your feet in a train is gross but did we as Singaporeans REALLY have to respond with $T$? ht",xenophobia,Xenophobia and racism,-1
3460000000,2019-01-22 13:00:50+00:00, ,1.09E+18,en,0,0,0,0, ,"This is all the more important with the upcoming votes in @Europarl_EN on #FTAs concluded with #Singapore and #Vietnam, especially as M$T$s in raised serious concerns regarding these countries' compliance with core #ILOconventions.",EP,Foreign talents,0
117000000,2013-09-19 01:40:58+00:00, ,3.81E+17,en,0,0,0,0, ,Hong Kong couple jailed for 'inhumane' abuse of Indonesian $T$ - Yahoo News Singapore http://t.co/6$T$nxZh7uI via @yahoosg,maid,Foreign domestic workers,-1
96773186,2012-04-23 03:02:16+00:00, ,1.94E+17,en,0,0,0,0, ,I'm at Singapore Polytechnic ($T$) (Singapore) w/ 55 others http://t.co/1cJrXcE,SP,Foreign talents,0
625000000,2021-12-28 02:25:14+00:00, ,1.48E+18,en,0,0,0,0, ,"Singapore rents hit six-year high, as inflation fuel$T$ housing?woes https://t.co/mFqlFlORZZ",expatriate,Foreign talents,-1
9.90E+17,2021-07-22 21:09:22+00:00, ,1.42E+18,en,0,0,0,0, ,"Tanjong Pagar Town Council $T$s dig through trash to recover resident's lost engagement ring - https://t.co/EBbKLYkCCe - News from Singapore, Asia and around the world https://t.co/jzIQx9zob3",migrant worker,Migrant workers,1
141000000,2017-07-05 02:47:41+00:00, ,8.82E+17,en,0,0,0,0, ,Get free 'boarding $T$' for airport's T4 open house tour https://t.co/VHOLAhUwXR,S pass,Foreign talents,1
17679069,2015-05-06 14:18:55+00:00, ,5.96E+17,en,1,0,0,0, ,#Singapore - Advising $T$ on admissions for the International Master's degree programmes http://t.co/Mn1riW82yE,international students,Foreign talents,0
7.27E+17,2018-01-16 13:25:37+00:00, ,9.53E+17,en,0,0,0,1, ,"RT @DesmondMuheta: Humanities, Arts and Social for $T$ in Singapore, 2018 https://t.co/90VH48tSi4",international students,Foreign talents,0
4420000000,2019-08-20 02:00:54+00:00, ,1.16E+18,en,0,0,0,0, ,"Singapore entrepreneur entrepass Scheme($T$)
The entrepreneur scheme was launched in 2004 to lure foreign entrepreneurs with innovative business proposals. It is part of Singapore????s overall plan to become a regional business hub
https://t.co/3Lbd2qag7I https://t.co/aCtPniXwRz",S pass,Foreign talents,1
235000000,2012-01-14 02:47:04+00:00, ,1.58E+17,en,0,0,0,0, ,"I'm at Immigration & Checkpoints Authority (10 Kallang Rd, $T$ Building, Singapore) w/ 5 others http://t.co/0CsWsCBf",ICA,Immigration policy,0
9.88E+17,2019-02-19 20:43:18+00:00, ,1.10E+18,en,19,0,2,0, ,our streams were higher than singapore????s and they still got dates. plus we can????t help the $T$ and xenaphobic country we live in. do you know how hard we????ve all tried to get the boys to play on the radio ?? https://t.co/Yejg4qCZMD,racist,Xenophobia and racism,-1
313000000,2020-01-13 01:09:12+00:00, ,1.22E+18,en,4,1,1,4, ,"At the heart of Malaya &amp; Singapore independence: David Marshall????s legacy is ""ethnicity and religion don????t matter when fighting for a shared, common national goal. De$T$ite growing up with $T$ [he] gave it his all for the sake of Merdeka""
https://t.co/ST4L9B1FNK",racial discrimination,Xenophobia and racism,1
4540000000,2021-09-26 12:31:41+00:00, ,1.44E+18,en,1,0,0,1, ,"@RanjanRajkuma11 @M_Lekhi @Jairam_Ramesh @DrSJaishankar @VMBJP @DrSJaishankar pls work towards helping Indians unable to fly from Singapore, please allow SG Airlines flights. Indian citizens in SG (on $T$) are feeling the hardship of not being able to travel home. __",work pass,Migrant workers,-1
158000000,2014-10-03 05:25:09+00:00, ,5.18E+17,en,0,0,0,0, ,I'm at Singapore Polytechnic ($T$) - @singapor$T$oly in Singapore https://t.co/KR5MvBsUd9,SP,Foreign talents,0
9.58E+17,2019-11-24 07:04:26+00:00, ,1.20E+18,en,0,0,0,102, ,RT @MaikudiMuhamma3: @ShehuSani They copy from Singapore but can't copy its Educational system. They copy $T$ from China but can_?,border closure,Travel restrictions,-1
131000000,2010-06-29 10:08:34+00:00, ,17300000000,en,0,0,0,0, ,read about indian $T$ in singapore and how to prepare tour family before  you hire one http://cli.gs/tWSUD,maid,Foreign domestic workers,0
636000000,2021-01-05 05:38:57+00:00, ,1.35E+18,en,0,0,0,0, ,Is casual $T$ okay? Seven Singaporeans share stories - CNA https://t.co/YA7UNu2e9K,racism,Xenophobia and racism,0
7.34E+17,2018-02-22 23:47:21+00:00, ,9.67E+17,en,0,0,1,0, ,"@WenHD @BalorFiendAE I hate how people of singapore think that pointing out your differences i$T$ instead of just accepting the differences and being chill with it. Singapore is literally people from other countries migrating here to work, meaning literally a mix of diff ethics. I find that some",racist,Xenophobia and racism,1
302000000,2019-05-08 15:57:10+00:00, ,1.13E+18,en,0,0,0,2, ,"RT @HaseenahKoya: #Singapore #Succession #POFMA: 

Looks like Shan is determined to $T$ this law. All his recent charm offensives should f",S pass,Foreign talents,-1
86736177,2014-01-09 02:32:05+00:00, ,4.21E+17,en,0,0,0,0, ,(ST) Four former $T$ officers charged in court for corruption http://t.co/pYUFlaShAf,ICA,Immigration policy,-1
65268724,2019-01-29 16:15:00+00:00, ,1.09E+18,en,1,0,0,0, ,@xwangbu Hi Eric! Security screenings for passengers on arriving flights will only be initiated at the discretion of the Immigration and Checkpoints Authority ($T$) of Singapore. Hope this clarifies! Don't hesitate to DM us if you have any further enquiries. :) -Mich,ICA,Immigration policy,1
1600000000,2020-12-08 10:56:37+00:00, ,1.34E+18,en,0,0,0,4, ,"RT @twt_migrant: Instead, we????d call him an expat. The word ????$T$???? has existed since forever, but it????s only recently been repurposed t",expatriate,Foreign talents,0
398000000,2012-06-05 06:52:03+00:00, ,2.10E+17,en,0,0,0,0, ,[CNA] Retiree jailed for punching $T$: SINGAPORE: A retiree got himself into a pickle for hitting hi... http://t.co/CjBj9tfY #singapore,maid,Foreign domestic workers,-1
1550000000,2014-06-19 08:28:19+00:00, ,4.80E+17,en,0,0,0,0, ,Philippines asks Singapore to probe $T$ blog http://t.co/gr1nU1ey62,racist,Xenophobia and racism,-1
396000000,2012-10-16 14:54:04+00:00, ,2.58E+17,en,0,0,0,0, ,$T$ form less than 16% of autonomous university enrolment http://t.co/hG9U3FjK #Singapore,international students,Foreign talents,-1
51347530,2013-02-06 11:09:33+00:00, ,2.99E+17,en,0,0,0,0, ,"We are hiring AGM/GM/AVP - Chartering for a shipping company in Singapore. Must be a PR/$T$. If interested, write to tataverty.prasad@verita",EP,Foreign talents,-1
322000000,2017-09-03 02:21:44+00:00, ,9.04E+17,en,0,0,0,0, ,celebrity sister laaa!! check out the article regarding the work she does and how she tackle$T$ in the UK!! https://t.co/HhwBCOa83N,racism,Xenophobia and racism,0
27360389,2009-06-02 16:48:28+00:00, ,2010000000,en,0,0,0,0, ,"45 illegal immigrants caught in $T$ raid, largest arrest in 2009 so far: SINGAPORE: 45 immigration offenders wer.. http://tinyurl.com/n839an",ICA,Immigration policy,-1
9.38E+17,2021-09-22 09:03:08+00:00, ,1.44E+18,en,0,0,0,0, ,"
__ Save time, reduce risks and ensure compliance with a digitised $T$ to work system.

Download here  https://t.co/SMfL2CdfCP https://t.co/1WR08NWZfe",work permit,Migrant workers,1
44290654,2021-08-03 16:22:38+00:00, ,1.42E+18,en,0,0,0,0, ,"$T$ MP's allegations of police mishandling sexual assault case are serious, says Desmond Tan https://t.co/RfPimpRguI",wp,Migrant workers,-1
2250000000,2014-01-29 06:18:13+00:00, ,4.28E+17,en,0,0,0,0, ,Singapore jail$T$ for burying baby in employer's yard http://t.co/2gnxQuX62n,maid,Foreign domestic workers,-1
3090000000,2019-03-20 13:50:41+00:00, ,1.11E+18,en,5,0,0,0, ,Today we visited the oldest Law Faculty in #Singapore ?? with the $T$ of the JFR (Law Faculty Association Rotterdam) @ErasmusESL. Thanks to @nus_law for the presentations and tour around the beautiful campus! #International #Law https://t.co/0mDsZAiL3S,international students,Foreign talents,0
157000000,2015-03-29 09:07:36+00:00, ,5.82E+17,en,0,0,0,68, ,"RT @ChannelNewsAsia: At $T$????s opening, #LeeKuanYew said Singapore must strive to get more into tertiary institutions http://t.co/s7b8Ir4wZ6 ",SP,Foreign talents,1
521000000,2015-08-15 20:48:31+00:00, ,6.33E+17,en,0,0,0,0, ,$T$ who won $2.3m lottery accused of stealing ticket http://t.co/2bVlJqpqL3,maid,Foreign domestic workers,-1
174000000,2015-09-13 17:16:34+00:00, ,6.43E+17,en,0,0,0,0, ,#OpenFollow Gateshead $T$ fast-track their way to Singapore for international F1 ... - ChronicleLive http://t.co/dnwXyK5ZQ9 #Singapore,international students,Foreign talents,0
167000000,2021-11-25 10:00:25+00:00, ,1.46E+18,en,0,0,0,0, ,You can now buy discounted Singapore Airlines flights $T$ even before you apply for leave https://t.co/EObEmaz0xN,S pass,Foreign talents,1
91025651,2021-12-03 14:31:46+00:00, ,1.47E+18,en,2,0,1,1, ,"Reason of Do Hung Dung ejected by $T$?

His name is not in the 30 names submitted to Singapore authorities before arrival. https://t.co/SihkyHYlfV",ICA,Immigration policy,-1
8.09E+17,2021-05-08 11:52:22+00:00, ,1.39E+18,en,0,0,2,0, ,"S'pore reducing arrivals from higher-risk areas, not barring entry for all work $T$ holders",S pass,Foreign talents,-1
27378369,2021-06-22 04:46:29+00:00, ,1.41E+18,en,0,0,0,0, ,"30 years_ jail for woman who killed $T$ by starving, abusing her almost daily for 9 months


Download the TODAY app at https://t.co/pzP2j5QBya",maid,Foreign domestic workers,-1
1.04E+18,2020-02-25 03:59:35+00:00, ,1.23E+18,en,0,0,0,975, ,"RT @maosnail: Random student who is not a minority during their class part: ""There is no $T$ in Singapore."" 
Me:",racism,Xenophobia and racism,1
150000000,2021-01-26 15:07:03+00:00, ,1.35E+18,en,0,0,0,1, ,"INNR _ How three women are empowering 'invisible' South Asian: Before Ms Malar Tharmalingam came to Singapore from India to work as a $T$ in 2015, she mostly kept to herself. View article... https://t.co/COW1H5JyGR",domestic worker,Foreign domestic workers,-1
558000000,2015-11-04 06:39:55+00:00, ,6.62E+17,en,0,0,0,1, ,Ven. Maduluwawe Sobitha Thero who underwent heart surgery recently was flown 2 Singapore last night 4 urgent medical treatment by $T$. flight,SP,Foreign talents,1
216000000,2010-12-18 16:13:43+00:00, ,1.62E+16,en,0,0,0,1, ,"@2NE1SG Please promote us~ We're a blogshop based in Singapore, selling KPOP merchandise! http://$T$.me/1cqNd Thank you! :D",wp,Migrant workers,-1
2880000000,2020-02-20 07:30:14+00:00, ,1.23E+18,en,2,0,0,2, ,"A __ransfer_ is a $T$ that changes employers while already working in Singapore.

Read more: https://t.co/WAtqwGoRhl

 #$T$match #insurancemarket #$T$insurance https://t.co/v6ySWikhl8",domestic helper,Foreign domestic workers,0
27378369,2021-02-03 03:27:34+00:00, ,1.36E+18,en,0,0,0,0, ,"supports Bill's $T$ to protect privacy: Pritam Singh

https://t.co/kAly40tIiZ",wp,Migrant workers,0
1.32E+18,2021-05-19 07:19:36+00:00, ,1.39E+18,en,0,0,1,0, ,"An Indian woman has been attacked by a Chinese man in Singapore. Calling it ""Indian variant"", ""Brazil variant"" and ""UK variant"" is as irresponsible and $T$ as calling it ""China virus"". 

https://t.co/nCzdmYrNbW",racist,Xenophobia and racism,-1
57814400,2015-11-16 20:07:50+00:00, ,6.66E+17,en,0,0,0,0, ,$T$ explores ways to upgrade Singaporepassport system - https://t.co/Zzjo13DVIy,ICA,Immigration policy,1
540000000,2013-10-04 15:53:36+00:00, ,3.86E+17,en,0,0,0,0, ,"Btw, Singapore has a law for online $T$? wow.",racism,Xenophobia and racism,1
64684768,2016-02-23 05:55:08+00:00, ,7.02E+17,en,0,0,0,0, ,ASIAONE | $T$ to conduct operational exercise at land checkpoints on Feb 25 https://t.co/sddH2xYijI https://t.co/tVQ9XECpix,ICA,Immigration policy,1
